[2023-12-03 14:59:55,723: INFO: main: Welcome to our custom log]
[2023-12-04 15:23:57,720:INFO:common:yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:23:57,722:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-04 15:30:14,261:INFO:common:yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:30:14,263:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-04 15:31:18,308:INFO:common:yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:31:18,309:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-04 15:31:18,310:INFO:common:created directory at: artifacts]
[2023-12-04 15:31:18,311:INFO:common:created directory at: artifacts/data_ingestion]
[2023-12-04 15:31:18,312:INFO:3378268103:Downloading data from https://drive.google.com/file/d/1vF4EpAZ6PTk71nftscaYKbL3nVLtrGRR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-04 15:33:02,757:INFO:common:yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:33:02,759:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-04 15:33:02,759:INFO:common:created directory at: artifacts]
[2023-12-04 15:33:02,760:INFO:common:created directory at: artifacts/data_ingestion]
[2023-12-04 15:33:02,761:INFO:3378268103:Downloading data from https://drive.google.com/file/d/1vF4EpAZ6PTk71nftscaYKbL3nVLtrGRR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-04 15:37:00,553:INFO:3378268103:Downloaded data from https://drive.google.com/file/d/1vF4EpAZ6PTk71nftscaYKbL3nVLtrGRR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-04 16:08:52,031:INFO:common:yaml file: config/config.yaml loaded successfully]
[2023-12-04 16:08:52,032:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-04 16:08:52,033:INFO:common:created directory at: artifacts]
[2023-12-04 16:08:52,034:INFO:common:created directory at: artifacts/data_ingestion]
[2023-12-04 16:08:52,034:INFO:3967834412:Downloading data from https://drive.google.com/file/d/1vF4EpAZ6PTk71nftscaYKbL3nVLtrGRR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-04 16:08:52,699:INFO:3967834412:Downloaded data from https://drive.google.com/file/d/1vF4EpAZ6PTk71nftscaYKbL3nVLtrGRR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-04 16:23:07,706:INFO:common:yaml file: config/config.yaml loaded successfully]
[2023-12-04 16:23:07,707:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-04 16:23:07,708:INFO:common:created directory at: artifacts]
[2023-12-04 16:23:07,709:INFO:common:created directory at: artifacts/data_ingestion]
[2023-12-04 16:23:07,710:INFO:3967834412:Downloading data from https://drive.google.com/file/d/1uBG8oCKphAargmLDGP2l_Pl_j2xbxiB5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-04 16:25:22,833:INFO:3967834412:Downloaded data from https://drive.google.com/file/d/1uBG8oCKphAargmLDGP2l_Pl_j2xbxiB5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
